City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
18,Saint-Philippe,RE,83.75,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
21,Vondrozo,MG,79.65,broken clouds,-22.8167,47.2833,
22,Vaini,TO,75.36,moderate rain,-21.2,-175.2,Keleti Beach Resort
28,Tabou,CI,78.85,light rain,4.423,-7.3528,hotêl doufoulougou
32,Rikitea,PF,79.34,few clouds,-23.1203,-134.9692,People ThankYou
35,Hithadhoo,MV,81.3,overcast clouds,-0.6,73.0833,Scoop Guest House
38,Perbaungan,ID,86.11,overcast clouds,3.5679,98.956,Bendang Lama
40,Kavaratti,IN,80.47,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
44,Quatre Cocos,MU,84.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
53,Isangel,VU,80.53,overcast clouds,-19.55,169.2667,Tanna Lodge
57,Boyolangu,ID,83.37,overcast clouds,-8.1181,111.8935,Yos ega cv
65,Atuona,PF,78.17,broken clouds,-9.8,-139.0333,Villa Enata
69,Labuhan,ID,82.8,overcast clouds,-6.8844,112.2051,DoubleFAG
71,Tautira,PF,82.42,overcast clouds,-17.7333,-149.15,Pension Oaoa
75,Kirakira,SB,80.4,overcast clouds,-10.4544,161.9205,SanBiz Lodge
80,Lingao,CN,75.74,scattered clouds,19.9103,109.6859,Lingao Ditai Inn
96,Acapulco,MX,75.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
97,Sambava,MG,83.35,few clouds,-14.2667,50.1667,Melrose
103,Beloha,MG,85.57,broken clouds,-25.1667,45.05,
104,Victoria,HK,78.19,few clouds,22.2855,114.1577,Mini Hotel Central
107,Port Elizabeth,ZA,75.49,clear sky,-33.918,25.5701,39 On Nile Guest House
117,Vao,NC,81.5,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
119,Aranos,,76.44,broken clouds,-24.1333,19.1167,Ley-Lia Guest House
121,Magdiwang,PH,80.22,broken clouds,12.491,122.5135,Sanctuary Garden Resort
130,Bambous Virieux,MU,84.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
137,Vila Velha,BR,75.15,moderate rain,-20.3297,-40.2925,Hotel Vitória Palace
141,Touros,BR,76.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
142,Ugoofaaru,MV,81.64,overcast clouds,5.6667,73.0,Ungoofaaru Inn
144,Faanui,PF,81.66,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
146,Praya,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
156,Grand Gaube,MU,84.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
157,Souillac,MU,84.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
163,Parrita,CR,80.37,clear sky,9.5201,-84.3225,Beso del Viento
164,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
167,Hervey Bay,AU,82.51,clear sky,-25.2986,152.8535,Shelly Bay Resort
169,Koforidua,GH,79.29,scattered clouds,6.0941,-0.2591,Ajaria Royal Palace Hotel
170,Vaitape,PF,81.61,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
171,Ambilobe,MG,79.5,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
173,Taitung,TW,77.27,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
175,Beira,MZ,84.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
181,Bengkulu,ID,84.04,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
183,Mahebourg,MU,84.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
184,Saint-Pierre,RE,83.84,clear sky,-21.3393,55.4781,Lindsey Hôtel
187,Poum,NC,81.43,overcast clouds,-20.2333,164.0167,
193,Mariental,,78.84,broken clouds,-24.6333,17.9667,Mariental Hotel
194,Saint-Joseph,RE,82.76,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
196,Maltahohe,,77.05,broken clouds,-24.8333,16.9833,Maltahöhe Hotel
197,La Romana,DO,76.73,clear sky,18.4273,-68.9728,Casa de Campo Resort and Villas
210,San Andres,CO,78.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
215,Kavieng,PG,82.38,moderate rain,-2.5744,150.7967,Nusa Island Retreat
220,Bandarbeyla,SO,78.1,overcast clouds,9.4942,50.8122,JABIR HOTEL
229,Georgetown,MY,84.15,light rain,5.4112,100.3354,Cititel Penang
240,Hambantota,LK,84.54,scattered clouds,6.1241,81.1185,Bungalow 63
242,Aitape,PG,81.03,overcast clouds,-3.1374,142.3475,
243,Owando,CG,80.02,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
245,Barabai,ID,85.42,moderate rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
