City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,2022-02-11 07:21:04,69.4541,-133.0374,-16.56,94,100,23.31,overcast clouds
1,Hobart,AU,2022-02-11 07:20:19,-42.8794,147.3294,69.03,52,20,19.57,few clouds
2,Tuatapere,NZ,2022-02-11 07:21:05,-46.1333,167.6833,59.83,80,100,8.7,overcast clouds
3,Ponta Do Sol,PT,2022-02-11 07:21:05,32.6667,-17.1,65.71,61,100,7.58,overcast clouds
4,Baykit,RU,2022-02-11 07:21:06,61.67,96.37,4.44,82,6,1.14,clear sky
5,Morgan City,US,2022-02-11 07:21:06,29.6994,-91.2068,45.03,100,0,0.0,clear sky
6,Fukue,JP,2022-02-11 07:21:06,32.6881,128.8419,50.36,66,75,6.91,broken clouds
7,Hermanus,ZA,2022-02-11 07:18:51,-34.4187,19.2345,72.9,62,0,0.34,clear sky
8,Hilo,US,2022-02-11 07:21:07,19.7297,-155.09,71.33,86,75,6.91,broken clouds
9,Puerto Ayora,EC,2022-02-11 07:21:07,-0.7393,-90.3518,74.55,93,58,4.21,broken clouds
10,Kapaa,US,2022-02-11 07:16:42,22.0752,-159.319,71.58,72,0,5.75,clear sky
11,Zeya,RU,2022-02-11 07:21:08,53.75,127.2667,8.55,66,95,4.65,overcast clouds
12,Sisimiut,GL,2022-02-11 07:19:22,66.9395,-53.6735,16.34,73,100,15.86,overcast clouds
13,Vestmanna,FO,2022-02-11 07:21:09,62.1564,-7.1664,34.72,87,75,20.71,light snow
14,Yelizovo,RU,2022-02-11 07:21:09,53.1873,158.3805,17.74,79,0,2.24,clear sky
15,Gamba,GA,2022-02-11 07:19:26,-2.65,10.0,74.68,94,100,8.34,moderate rain
16,Svetlaya,RU,2022-02-11 07:21:09,46.5389,138.3297,24.39,82,100,3.49,overcast clouds
17,Ushuaia,AR,2022-02-11 07:21:10,-54.8,-68.3,44.26,61,40,25.32,scattered clouds
18,Saint-Philippe,RE,2022-02-11 07:21:10,-21.3585,55.7679,83.75,76,58,8.37,broken clouds
19,Coquimbo,CL,2022-02-11 07:21:11,-29.9533,-71.3436,65.93,82,100,3.44,overcast clouds
20,Arraial Do Cabo,BR,2022-02-11 07:21:11,-22.9661,-42.0278,72.07,89,100,3.87,light rain
21,Vondrozo,MG,2022-02-11 07:21:11,-22.8167,47.2833,79.65,64,70,3.87,broken clouds
22,Vaini,TO,2022-02-11 07:18:45,-21.2,-175.2,75.36,100,75,11.5,moderate rain
23,Sinnamary,GF,2022-02-11 07:20:32,5.3833,-52.95,74.71,90,67,7.34,broken clouds
24,Alta Floresta,BR,2022-02-11 07:21:12,-9.8756,-56.0861,70.75,99,100,3.11,overcast clouds
25,Borazjan,IR,2022-02-11 07:21:12,29.2666,51.2159,70.93,28,14,3.62,few clouds
26,Jumla,NP,2022-02-11 07:21:13,29.2747,82.1838,41.7,57,0,3.87,clear sky
27,Saint George,US,2022-02-11 07:21:13,37.1041,-113.5841,53.35,44,0,8.05,clear sky
28,Tabou,CI,2022-02-11 07:21:14,4.423,-7.3528,78.85,87,72,5.19,light rain
29,Mar Del Plata,AR,2022-02-11 07:21:14,-38.0023,-57.5575,68.88,93,100,3.0,overcast clouds
30,Ossora,RU,2022-02-11 07:21:14,59.2353,163.0719,-3.78,80,97,4.07,overcast clouds
31,Mataura,NZ,2022-02-11 07:18:54,-46.1927,168.8643,59.49,70,21,5.3,few clouds
32,Rikitea,PF,2022-02-11 07:21:15,-23.1203,-134.9692,79.34,74,14,17.67,few clouds
33,Vizinga,RU,2022-02-11 07:21:15,61.0749,50.1031,19.98,93,100,7.85,overcast clouds
34,San Patricio,US,2022-02-11 07:21:16,28.017,-97.5169,57.81,79,100,4.68,overcast clouds
35,Hithadhoo,MV,2022-02-11 07:21:16,-0.6,73.0833,81.3,69,100,5.21,overcast clouds
36,Aklavik,CA,2022-02-11 07:21:17,68.2191,-135.0107,-13.97,94,99,5.12,overcast clouds
37,Winnemucca,US,2022-02-11 07:21:17,40.973,-117.7357,28.45,80,0,6.91,clear sky
38,Perbaungan,ID,2022-02-11 07:21:17,3.5679,98.956,86.11,68,99,4.59,overcast clouds
39,Belaya Gora,RU,2022-02-11 07:21:18,68.5333,146.4167,-35.48,100,21,4.32,few clouds
40,Kavaratti,IN,2022-02-11 07:20:53,10.5669,72.642,80.47,72,100,9.33,overcast clouds
41,Caibarien,CU,2022-02-11 07:21:18,22.5206,-79.4669,70.92,81,66,9.26,broken clouds
42,Busselton,AU,2022-02-11 07:21:19,-33.65,115.3333,97.09,41,17,14.56,few clouds
43,Lata,PT,2022-02-11 07:21:19,40.1629,-8.3327,46.81,66,22,1.97,few clouds
44,Quatre Cocos,MU,2022-02-11 07:20:32,-20.2078,57.7625,84.31,70,29,7.87,scattered clouds
45,Klaksvik,FO,2022-02-11 07:21:20,62.2266,-6.589,36.52,68,75,23.64,broken clouds
46,Kasongo-Lunda,CD,2022-02-11 07:21:20,-6.4667,16.8167,74.01,85,96,1.77,overcast clouds
47,Albany,US,2022-02-11 07:17:53,42.6001,-73.9662,34.38,90,93,2.1,overcast clouds
48,Iqaluit,CA,2022-02-11 07:17:58,63.7506,-68.5145,-0.31,77,100,0.0,light snow
49,Jamestown,US,2022-02-11 07:17:56,42.097,-79.2353,31.32,80,100,10.36,overcast clouds
50,Cape Town,ZA,2022-02-11 07:18:02,-33.9258,18.4232,74.08,61,0,14.97,clear sky
51,Krutinka,RU,2022-02-11 07:22:21,56.0055,71.5113,-3.69,90,6,11.65,clear sky
52,Kysyl-Syr,RU,2022-02-11 07:22:22,63.8986,122.7617,-16.85,97,90,2.26,overcast clouds
53,Isangel,VU,2022-02-11 07:18:57,-19.55,169.2667,80.53,85,100,17.76,overcast clouds
54,Dikson,RU,2022-02-11 07:22:22,73.5069,80.5464,7.52,92,100,25.81,overcast clouds
55,Saskylakh,RU,2022-02-11 07:22:23,71.9167,114.0833,-1.1,92,48,9.98,scattered clouds
56,Kaka,TM,2022-02-11 07:22:23,37.3482,59.6143,55.31,41,100,19.08,overcast clouds
57,Boyolangu,ID,2022-02-11 07:22:24,-8.1181,111.8935,83.37,73,97,1.32,overcast clouds
58,Saldanha,ZA,2022-02-11 07:22:24,-33.0117,17.9442,71.65,78,0,12.19,clear sky
59,Makakilo City,US,2022-02-11 07:22:24,21.3469,-158.0858,71.92,76,100,6.91,overcast clouds
60,Yuyao,CN,2022-02-11 07:22:25,30.05,121.1494,44.37,96,100,7.56,light rain
61,Thunder Bay,CA,2022-02-11 07:22:25,48.4001,-89.3168,26.58,90,100,5.75,overcast clouds
62,Sioux Lookout,CA,2022-02-11 07:22:25,50.1001,-91.917,10.78,85,100,8.05,overcast clouds
63,East London,ZA,2022-02-11 07:22:26,-33.0153,27.9116,72.54,73,40,10.36,scattered clouds
64,Vila Franca Do Campo,PT,2022-02-11 07:22:26,37.7167,-25.4333,58.19,71,99,2.15,overcast clouds
65,Atuona,PF,2022-02-11 07:22:27,-9.8,-139.0333,78.17,76,79,17.74,broken clouds
66,Ancud,CL,2022-02-11 07:18:30,-41.8697,-73.8203,49.42,81,10,5.41,clear sky
67,Hay River,CA,2022-02-11 07:22:27,60.8156,-115.7999,-9.42,77,100,8.05,light snow
68,Bethel,US,2022-02-11 07:18:59,41.3712,-73.414,39.81,73,0,0.0,clear sky
69,Labuhan,ID,2022-02-11 07:22:28,-6.8844,112.2051,82.8,77,100,9.42,overcast clouds
70,Norman Wells,CA,2022-02-11 07:22:28,65.282,-126.8329,-20.16,69,75,3.44,broken clouds
71,Tautira,PF,2022-02-11 07:22:28,-17.7333,-149.15,82.42,73,100,13.04,overcast clouds
72,Tasiilaq,GL,2022-02-11 07:22:29,65.6145,-37.6368,15.96,61,100,5.68,overcast clouds
73,Port Lincoln,AU,2022-02-11 07:19:28,-34.7333,135.8667,70.0,53,69,12.66,broken clouds
74,Senador Jose Porfirio,BR,2022-02-11 07:22:29,-2.5908,-51.9542,72.54,97,100,2.68,light rain
75,Kirakira,SB,2022-02-11 07:22:30,-10.4544,161.9205,80.4,87,96,8.39,overcast clouds
76,Mehamn,NO,2022-02-11 07:22:31,71.0357,27.8492,26.51,91,100,13.85,overcast clouds
77,Kibala,TD,2022-02-11 07:22:31,9.1104,18.3463,73.35,21,0,4.61,clear sky
78,Umm Lajj,SA,2022-02-11 07:22:31,25.0213,37.2685,65.26,44,0,15.9,clear sky
79,Qaanaaq,GL,2022-02-11 07:18:24,77.484,-69.3632,-24.97,67,17,5.19,few clouds
80,Lingao,CN,2022-02-11 07:22:32,19.9103,109.6859,75.74,69,46,12.19,scattered clouds
81,Pacific Grove,US,2022-02-11 07:22:32,36.6177,-121.9166,63.55,54,0,8.05,clear sky
82,Pevek,RU,2022-02-11 07:19:07,69.7008,170.3133,-24.32,97,100,7.58,overcast clouds
83,Chokurdakh,RU,2022-02-11 07:19:01,70.6333,147.9167,-22.29,97,100,11.48,overcast clouds
84,Bud,US,2022-02-11 07:22:33,39.447,-86.1758,36.32,78,100,11.77,overcast clouds
85,Kodiak,US,2022-02-11 07:22:33,57.79,-152.4072,35.11,87,100,21.85,light snow
86,Longyearbyen,SJ,2022-02-11 07:22:34,78.2186,15.6401,19.24,73,75,8.05,broken clouds
87,Kinsale,IE,2022-02-11 07:22:34,51.7075,-8.5306,36.77,87,75,4.61,broken clouds
88,Castro,BR,2022-02-11 07:22:35,-24.7911,-50.0119,58.77,93,93,7.07,overcast clouds
89,Neryungri,RU,2022-02-11 07:23:35,56.6709,124.6491,-16.47,91,100,6.85,overcast clouds
90,Punta Arenas,CL,2022-02-11 07:23:35,-53.15,-70.9167,46.51,71,75,11.5,broken clouds
91,Yellowknife,CA,2022-02-11 07:23:36,62.456,-114.3525,-17.59,81,100,3.44,overcast clouds
92,Ushirombo,TZ,2022-02-11 07:23:36,-3.4919,31.9639,72.7,76,52,3.09,broken clouds
93,Anadyr,RU,2022-02-11 07:23:14,64.75,177.4833,-23.3,69,0,6.71,clear sky
94,Sur,OM,2022-02-11 07:23:37,22.5667,59.5289,74.88,36,0,4.54,clear sky
95,Acajutla,SV,2022-02-11 07:23:37,13.5928,-89.8275,74.8,67,9,4.83,clear sky
96,Acapulco,MX,2022-02-11 07:21:49,16.8634,-99.8901,75.02,83,0,5.75,clear sky
97,Sambava,MG,2022-02-11 07:23:38,-14.2667,50.1667,83.35,67,15,7.4,few clouds
98,Haines Junction,CA,2022-02-11 07:23:38,60.7522,-137.5108,10.35,72,100,2.3,overcast clouds
99,Celestun,MX,2022-02-11 07:23:38,20.8667,-90.4,68.95,86,100,9.98,overcast clouds
100,Urumqi,CN,2022-02-11 07:23:39,43.801,87.6005,16.75,73,100,4.47,mist
101,Kwinana,AU,2022-02-11 07:19:53,-32.25,115.7667,90.18,70,6,11.7,clear sky
102,Alberton,CA,2022-02-11 07:23:39,46.8168,-64.0654,35.73,97,100,13.53,overcast clouds
103,Beloha,MG,2022-02-11 07:23:40,-25.1667,45.05,85.57,58,65,9.91,broken clouds
104,Victoria,HK,2022-02-11 07:21:37,22.2855,114.1577,78.19,78,13,8.99,few clouds
105,Ostrovnoy,RU,2022-02-11 07:23:40,68.0531,39.5131,22.64,87,100,17.69,overcast clouds
106,Esperance,AU,2022-02-11 07:23:41,-33.8667,121.9,111.04,27,11,12.66,few clouds
107,Port Elizabeth,ZA,2022-02-11 07:23:41,-33.918,25.5701,75.49,57,0,4.61,clear sky
108,Luderitz,NA,2022-02-11 07:23:41,-26.6481,15.1594,71.65,62,26,6.96,scattered clouds
109,Port Alfred,ZA,2022-02-11 07:23:42,-33.5906,26.891,72.28,73,3,3.36,clear sky
110,Nikolskoye,RU,2022-02-11 07:23:42,59.7035,30.7861,32.4,93,66,8.08,broken clouds
111,Talnakh,RU,2022-02-11 07:23:42,69.4865,88.3972,2.21,93,6,12.37,clear sky
112,Wilmington,US,2022-02-11 07:21:31,34.2257,-77.9447,50.0,61,0,5.75,clear sky
113,Royan,FR,2022-02-11 07:23:43,45.6285,-1.0281,41.04,89,45,12.24,scattered clouds
114,Guadalupe Y Calvo,MX,2022-02-11 07:23:43,26.1,-106.9667,33.93,54,0,5.75,clear sky
115,Bronnoysund,NO,2022-02-11 07:23:44,65.4625,12.1997,30.42,86,75,7.0,broken clouds
116,Yakeshi,CN,2022-02-11 07:23:44,49.2833,120.7333,6.55,90,100,10.56,overcast clouds
117,Vao,NC,2022-02-11 07:23:44,-22.6667,167.4833,81.5,86,100,30.42,overcast clouds
118,Matai,TZ,2022-02-11 07:23:45,-8.3,31.5167,60.01,97,100,2.24,light rain
119,Aranos,NA,2022-02-11 07:21:18,-24.1333,19.1167,76.44,49,63,1.03,broken clouds
120,Goderich,CA,2022-02-11 07:23:45,43.7501,-81.7165,29.91,74,100,14.97,overcast clouds
121,Magdiwang,PH,2022-02-11 07:20:18,12.491,122.5135,80.22,72,53,11.79,broken clouds
122,Chernyshevskiy,RU,2022-02-11 07:23:46,63.0128,112.4714,-6.43,86,94,5.26,overcast clouds
123,Raudeberg,NO,2022-02-11 07:23:46,61.9875,5.1352,30.87,73,100,1.99,overcast clouds
124,Faya,SA,2022-02-11 07:19:44,18.3851,42.4509,66.31,55,24,5.35,few clouds
125,Beyneu,KZ,2022-02-11 07:23:47,45.3167,55.2,35.51,70,28,18.45,scattered clouds
126,Nome,US,2022-02-11 07:23:47,64.5011,-165.4064,-17.84,78,5,6.42,clear sky
